Year,,Month,Agriculture,Forestry and logging,"Fishing, aquaculture and agriculture, forestry and fishing support services",Mining,"Food, beverage, and tobacco manufacturing"," Textile, leather, clothing, and footwear manufacturing",Wood and paper products manufacturing,Printing,"Petroleum, chemical, polymer, and rubber product manufacturing",Non-metallic mineral product manufacturing, Metal product manufacturing,"Transport equipment, machinery and equipment manufacturing",Furniture and other manufacturing,Manufacturing,"Electricity, gas, water, and waste services",Construction,Wholesale trade,Retail trade,Accommodation and food services,"Transport, postal, and warehousing",Information media and telecommunications,Financial and insurance services,"Rental, hiring, and real estate services",Ownership of owner-occupied dwellings,"Professional, scientific, and technical services",Administrative and support services,Local government administration,"Central government administration, defence, and public safety",Education and training,Health care and social assistance,Arts and recreation services,Other services,Unallocated industries,Gross domestic product
2004,,Mar,-0.3,7.3,0.2,9.2,1.6,-8.4,6.5,1.8,3.8,0.2,3.5,7.0,1.3,2.9,2.3,2.3,2.5,1.6,1.7,1.6,0.5,2.9,0.3,1.0,1.4,1.3,-0.6,1.3,0.0,2.7,0.0,2.8,2.3,1.7
,,Jun,-2.0,-6.4,2.9,3.3,4.5,4.4,-2.2,3.6,0.1,4.0,-3.7,-4.6,-1.9,0.5,-2.9,7.0,1.5,0.8,1.6,2.3,0.7,1.8,0.6,1.1,-0.4,-0.7,0.8,3.2,-0.2,-0.7,-2.4,-0.1,1.1,0.9
,,Sep,-5.5,2.9,-4.9,-9.6,-6.0,5.5,5.8,-5.0,0.6,2.3,0.8,2.7,0.4,-0.7,-0.1,0.6,1.8,3.4,2.5,0.9,0.8,1.5,-0.1,1.3,-0.2,0.4,2.3,-1.2,-0.4,-0.1,-1.0,0.4,0.7,0.3
,,Dec,-1.0,-1.5,3.8,3.2,-0.9,2.9,0.5,3.7,0.8,0.6,-0.9,1.1,3.4,0.4,-4.9,-1.9,1.7,-0.1,0.9,1.2,1.6,1.5,2.5,1.2,2.3,3.4,-0.8,1.6,-0.6,1.7,2.4,0.2,0.2,0.4
2005,,Mar,3.0,1.8,5.7,-1.7,1.3,-1.6,-2.7,-0.4,-1.9,-1.7,-1.0,1.4,-3.2,-0.4,2.4,1.3,0.1,1.4,-1.5,2.0,0.2,2.2,2.3,1.2,1.0,1.1,3.0,0.2,-0.8,2.2,-0.6,-1.2,1.0,1.2
,,Jun,3.1,-1.0,-8.0,7.0,2.7,-3.1,4.6,-0.9,1.5,2.7,1.2,0.5,1.2,1.8,1.9,3.3,3.8,1.7,2.5,1.9,0.0,0.7,1.1,0.9,1.9,1.5,2.1,2.7,-1.0,3.3,-3.1,-0.5,1.5,1.6
,,Sep,2.9,-1.1,-1.4,-1.9,5.8,-3.5,-7.2,-1.0,0.9,-2.9,-0.8,1.4,-5.1,1.0,-1.3,-3.2,-0.1,2.0,0.4,0.1,0.7,1.0,0.7,0.8,0.7,1.4,0.2,1.7,-0.7,0.2,1.0,-0.7,0.1,0.5
,,Dec,-0.1,1.1,2.9,-0.4,-6.9,4.0,1.8,-1.4,-2.0,-1.2,-0.5,-4.2,-0.1,-3.1,-0.1,1.9,-1.5,0.1,1.5,-3.3,0.5,0.9,0.6,1.0,0.4,1.0,0.7,0.7,-0.3,1.2,2.1,-0.2,0.5,-0.4
2006,,Mar,5.5,-0.9,-4.8,4.1,4.1,1.4,0.9,-0.6,-2.3,0.6,-0.6,0.0,8.3,1.2,-0.3,5.0,1.7,0.2,0.5,-0.4,-0.2,1.1,0.6,1.2,0.9,0.1,0.0,2.9,0.1,0.5,4.7,1.1,1.7,1.6
,,Jun,0.3,4.1,2.6,-8.5,1.7,0.7,-1.5,-6.8,-1.3,-1.3,-4.3,-4.9,-7.5,-1.5,6.6,-2.6,-0.9,1.1,1.1,-1.3,1.3,1.6,0.5,1.1,2.2,3.9,1.7,-0.1,0.5,2.1,-3.1,-4.0,-0.6,0.5
,,Sep,-2.4,1.4,9.1,-2.9,-11.2,-0.9,1.5,3.7,-3.0,5.8,2.0,1.0,-0.5,-3.6,-0.9,2.3,2.2,1.2,0.4,0.7,2.3,1.4,2.6,1.5,1.3,1.8,1.8,11.5,0.3,-0.4,-3.0,0.5,2.4,0.6
,,Dec,-4.5,4.6,-1.7,10.9,7.3,2.3,-0.5,-4.1,6.1,1.5,-1.8,0.3,-0.1,3.2,3.4,2.6,0.1,2.8,2.1,-0.4,3.2,1.5,0.8,1.0,0.0,4.5,3.5,2.1,0.1,1.2,2.9,1.8,1.8,0.9
